title,year,certificate,duration,genre,rating,description,stars,votes
BoJack Horseman,(2014–2020),TV-MA,26 min,"Animation, Comedy, Drama",9.9,BoJack reconnects with faces from his past.,"['Amy Winfrey', '| ', '    Stars:', 'Will Arnett, ', 'Amy Sedaris, ', 'Alison Brie, ', 'Paul F. Tompkins']","16,066"
Stranger Things,(2016– ),TV-14,98 min,"Drama, Fantasy, Horror",9.6,"As Hopper braces to battle a monster, Dustin dissects Vecna's motives -- and decodes a message from beyond. El finds strength in a distant memory.","['Matt Duffer, ', 'Ross Duffer', '| ', '    Stars:', 'Winona Ryder, ', 'David Harbour, ', 'Millie Bobby Brown, ', 'Finn Wolfhard']","36,276"
Avatar: The Last Airbender,(2005–2008),TV-Y7,25 min,"Animation, Action, Adventure",9.6,The heroes work together to stop Azula's destructive plans; Zuko finds companionship in an unlikely source and learns the time has come to make an imperative choice about his future.,"['Michael Dante DiMartino', '| ', '    Stars:', 'Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena, ', 'Michaela Jill Murphy']","5,221"
1899,(2022– ),,60 min,"Drama, History, Horror",9.6,Multinational immigrants traveling from the old continent to the new encounter a nightmarish riddle aboard a second ship adrift on the open sea.,"['Ben Ashenden, ', 'Aneurin Barnard, ', 'Emily Beecham, ', 'Anton Lesser']",853
Dexter,(2006–2013),TV-MA,56 min,"Crime, Drama, Mystery",9.6,"In the Season One finale, Dexter follows the clues left for him by the Ice Truck Killer in an effort to rescue his kidnapped loved one, while Rita's ex tries to convince her that Dexter is too dangerous to be around their children.","['Michael Cuesta', '| ', '    Stars:', 'Michael C. Hall, ', 'Julie Benz, ', 'Jennifer Carpenter, ', 'Erik King']","10,604"
JoJo's Bizarre Adventure,(2012– ),TV-MA,25 min,"Animation, Action, Adventure",9.6,"In the aftermath of the battle between Risotto and Doppio, Abbacchio uses Moody Blues to try and uncover the boss's identity. But the boss is adamant about keeping his identity a secret and executes his next gambit against the group.","['Shinshû Fuji, ', 'Kellen Goff, ', 'Katsuyuki Konishi, ', 'Mick Lauer']","1,442"
Avatar: The Last Airbender,(2005–2008),TV-Y7,24 min,"Animation, Action, Adventure",9.6,"As the Fire Nation continues its assault on the Northern Water Tribe, Sokka, Katara and Yue set out on a search for Aang, being guided by his spirit.","['Dave Filoni', '| ', '    Stars:', 'Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena, ', 'Dante Basco']","3,953"
Avatar: The Last Airbender,(2005–2008),TV-Y7,25 min,"Animation, Action, Adventure",9.5,"As Zuko tries to make it by in exile without his uncle, he remembers how his father became Firelord and what happened to his mother.","['Lauren MacMullan', '| ', '    Stars:', 'Dante Basco, ', 'Grey Griffin, ', 'Mako, ', 'Gary Anthony Sturgis']","5,383"
BoJack Horseman,(2014–2020),TV-MA,27 min,"Animation, Comedy, Drama",9.5,A celebration brings people together.,"['Aaron Long', '| ', '    Stars:', 'Will Arnett, ', 'Amy Sedaris, ', 'Alison Brie, ', 'Paul F. Tompkins']","6,230"
Avatar: The Last Airbender,(2005–2008),TV-Y7,25 min,"Animation, Action, Adventure",9.5,Both Aang and Zuko must learn the history of how the war began. Zuko learns a secret about his great-grandfather's past.,"['Ethan Spaulding', '| ', '    Stars:', 'Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena, ', 'Michaela Jill Murphy']","4,740"
Anne with an E,(2017–2019),TV-PG,44 min,"Drama, Family",9.5,Anne steps into the next chapter of her life.,"['Amanda Tapping', '| ', '    Stars:', 'Amybeth McNulty, ', 'Geraldine James, ', 'R.H. Thomson, ', 'Lucas Jade Zumann']","2,488"
Breaking Bad,(2008–2013),TV-MA,49 min,"Crime, Drama, Thriller",9.5,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"['Bryan Cranston, ', 'Aaron Paul, ', 'Anna Gunn, ', 'Betsy Brandt']","1,831,340"
Dark,(2017–2020),TV-MA,54 min,"Crime, Drama, Mystery",9.5,"Armed with a plan to prevent the apocalypse, Jonas travels to 2019. During the Nielsens' anniversary party, Ulrich sneaks off with Hannah.","['Baran bo Odar', '| ', '    Stars:', 'Louis Hofmann, ', 'Sebastian Rudolph, ', 'Maja Schöne, ', 'Lisa Vicari']","14,007"
Breaking Bad,(2008–2013),TV-MA,49 min,"Crime, Drama, Thriller",9.5,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"['Bryan Cranston, ', 'Aaron Paul, ', 'Anna Gunn, ', 'Betsy Brandt']","1,831,359"
Dark,(2017–2020),TV-MA,57 min,"Crime, Drama, Mystery",9.4,"On the day of the apocalypse, Clausen executes a search warrant at the power plant as Jonas and Claudia use the time machine to connect past and future.","['Baran bo Odar', '| ', '    Stars:', 'Sandra Borgmann, ', 'Karoline Eichhorn, ', 'Carlotta von Falkenhayn, ', 'Stephan Kampwirth']","14,017"
JoJo's Bizarre Adventure,(2012– ),TV-MA,25 min,"Animation, Action, Adventure",9.4,The Stand arrow's rightful owner is finally revealed.,"['Lizzie Freeman, ', 'Kellen Goff, ', 'Katsuyuki Konishi, ', 'Yûichi Nakamura']","1,192"
